Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
Monta Ellis,8000000,28,82,82,3023,0.451,0.33,0.788,38,257,471,141,23,264,197,1560,PG,58679000
Dirk Nowitzki,22721381,35,80,80,2628,0.497,0.398,0.899,40,458,216,73,45,117,165,1735,PF,58679000
Jose Calderon,6791570,32,81,81,2468,0.456,0.449,0.825,29,163,377,69,11,103,136,925,PG,58679000
Shawn Marion,9316796,35,76,76,2409,0.482,0.358,0.785,132,365,124,90,37,95,125,791,SF,58679000
Vince Carter,3180000,37,81,0,1973,0.407,0.394,0.821,67,217,212,61,35,108,209,967,SG,58679000
Samuel Dalembert,3700748,32,80,68,1614,0.568,0,0.737,200,341,38,41,94,90,210,529,C,58679000
Jae Crowder,788872,23,78,8,1254,0.439,0.331,0.754,46,148,60,59,21,41,100,356,SF,58679000
DeJuan Blair,947907,24,78,13,1214,0.534,0,0.636,139,229,70,60,21,77,192,497,PF,58679000
Brandan Wright,5000000,26,58,0,1077,0.677,0,0.726,102,142,31,32,55,35,94,525,C,58679000
Devin Harris,1272279,30,40,0,818,0.378,0.307,0.8,8,77,178,28,2,59,72,315,PG,58679000
Shane Larkin,1536960,21,48,0,489,0.38,0.316,0.64,11,31,71,26,1,39,46,132,PG,58679000
Wayne Ellington,2652000,26,45,1,393,0.437,0.424,0.909,8,35,19,16,2,11,33,145,SG,58679000
Bernard James,788872,28,30,0,146,0.478,0,0.545,15,27,3,3,8,10,24,28,C,58679000
Klay Thompson,2317920,23,81,81,2868,0.444,0.417,0.795,38,211,181,74,37,135,234,1488,SG,58679000
Stephen Curry,9887642,25,78,78,2846,0.471,0.424,0.885,46,288,666,128,14,294,194,1873,PG,58679000
David Lee,13878000,30,69,67,2288,0.523,0,0.78,182,461,147,48,26,152,206,1257,PF,58679000
Harrison Barnes,2923920,21,78,24,2204,0.399,0.347,0.718,66,245,116,65,20,84,158,738,SF,58679000
Andre Iguodala,12868632,30,63,63,2040,0.48,0.354,0.652,53,240,263,95,18,100,103,588,SF,58679000
Draymond Green,875500,23,82,12,1797,0.407,0.333,0.667,86,323,152,102,72,91,231,511,SF,58679000
Andrew Bogut,14000000,29,67,67,1769,0.627,0,0.344,182,489,112,47,121,97,210,492,C,58679000
Marreese Speights,3500000,26,79,3,982,0.441,0.258,0.821,101,189,32,10,34,66,148,508,C,58679000
Jermaine O'Neal,2000000,35,44,13,883,0.504,0,0.75,85,157,25,14,40,52,102,349,PF,58679000
Kent Bazemore,788872,24,44,0,268,0.371,0.256,0.528,5,35,20,12,6,28,42,101,SG,58679000
Toney Douglas,1600000,27,24,0,265,0.372,0.322,0.625,4,22,19,6,2,16,34,88,PG,58679000
Nemanja Nedovic,1056720,22,24,0,142,0.205,0.167,0.875,3,12,13,0,1,13,13,26,SG,58679000
Chandler Parsons,926500,25,74,74,2783,0.472,0.37,0.742,69,340,298,88,29,144,168,1226,SF,58679000
James Harden,13701250,24,73,73,2777,0.456,0.366,0.866,61,283,446,115,29,265,177,1851,SG,58679000
Dwight Howard,20513178,28,71,71,2396,0.591,0.286,0.547,231,635,131,60,128,229,240,1297,C,58679000
Terrence Jones,1551840,22,76,71,2078,0.542,0.307,0.605,162,366,87,53,99,71,139,921,PF,58679000
Jeremy Lin,8374646,25,71,33,2054,0.446,0.358,0.823,34,153,294,68,27,176,166,890,PG,58679000
Patrick Beverley,788872,25,56,55,1751,0.414,0.361,0.814,72,124,151,77,23,66,174,573,PG,58679000
Omri Casspi,947907,25,71,2,1283,0.422,0.347,0.68,55,205,88,44,14,72,100,490,PF,58679000
Francisco Garcia,1265977,32,55,4,1083,0.401,0.358,0.526,21,101,63,27,33,30,120,315,SF,58679000
Omer Asik,8374646,27,48,19,968,0.532,0,0.619,101,277,25,14,37,59,92,280,C,58679000
Donatas Motiejunas,1422720,23,62,3,952,0.443,0.25,0.604,60,165,34,20,21,49,132,341,PF,58679000
Aaron Brooks,1027424,29,43,0,716,0.395,0.409,0.841,23,39,83,25,6,51,76,299,PG,58679000
Ronnie Brewer,1186459,28,23,3,158,0.2,0.125,0,2,12,10,6,1,2,4,7,SF,58679000
Greg Smith,884293,23,11,0,100,0.643,0,0.4,11,16,0,1,2,5,17,38,C,58679000
DeAndre Jordan,10986550,25,82,82,2870,0.676,0,0.428,331,783,74,80,203,123,264,856,C,58679000
Blake Griffin,16441500,24,80,80,2863,0.528,0.273,0.715,192,565,309,92,51,224,265,1930,PF,58679000
Chris Paul,18668431,28,62,62,2171,0.467,0.368,0.855,38,230,663,154,4,145,157,1185,PG,58679000
